annotator,reference,comparison_label,lang,sample_id,status,table_iaa,table_iaa_ci,node_precision,node_recall,node_iaa,node_tp,annotation_node_count,reference_node_count,node_precision_ci,node_recall_ci,node_iaa_ci,node_tp_ci,node_path_precision,node_path_recall,node_path_iaa,node_path_tp,annotation_path_node_count,reference_path_node_count,node_path_iaa_ci,annotation_path,reference_path
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,178,ok,0.000000,0.000000,0.890625,0.876923,0.883721,57,64,65,0.890625,0.876923,0.883721,57,0.015625,0.015385,0.015504,1,64,65,0.015504,IAA/stage3/annotator_A/zh/178.json,workflow/1-annotated_json/data_zh/178.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,182,ok,0.000000,0.000000,0.807692,0.724138,0.763636,21,26,29,0.807692,0.724138,0.763636,21,0.384615,0.344828,0.363636,10,26,29,0.363636,IAA/stage3/annotator_A/zh/182.json,workflow/1-annotated_json/data_zh/182.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,257,ok,0.000000,0.000000,0.625000,0.294118,0.400000,5,8,17,0.625000,0.294118,0.400000,5,0.625000,0.294118,0.400000,5,8,17,0.400000,IAA/stage3/annotator_A/zh/257.json,workflow/1-annotated_json/data_zh/257.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,303,ok,0.000000,0.000000,0.757576,0.757576,0.757576,25,33,33,0.757576,0.757576,0.757576,25,0.121212,0.121212,0.121212,4,33,33,0.121212,IAA/stage3/annotator_A/zh/303.json,workflow/1-annotated_json/data_zh/303.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,304,ok,0.000000,0.000000,0.425000,0.309091,0.357895,17,40,55,0.425000,0.309091,0.357895,17,0.000000,0.000000,0.000000,0,40,55,0.000000,IAA/stage3/annotator_A/zh/304.json,workflow/1-annotated_json/data_zh/304.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,316,ok,0.000000,0.000000,0.937500,0.909091,0.923077,30,32,33,0.937500,0.909091,0.923077,30,0.406250,0.393939,0.400000,13,32,33,0.400000,IAA/stage3/annotator_A/zh/316.JSON,workflow/1-annotated_json/data_zh/316.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,340,ok,0.000000,0.000000,0.683333,0.706897,0.694915,41,60,58,0.683333,0.706897,0.694915,41,0.016667,0.017241,0.016949,1,60,58,0.016949,IAA/stage3/annotator_A/zh/340.JSON,workflow/1-annotated_json/data_zh/340.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,341,ok,0.000000,0.000000,0.520000,0.565217,0.541667,13,25,23,0.520000,0.565217,0.541667,13,0.400000,0.434783,0.416667,10,25,23,0.416667,IAA/stage3/annotator_A/zh/341.JSON,workflow/1-annotated_json/data_zh/341.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,350,ok,0.000000,0.000000,0.434783,0.563380,0.490798,40,92,71,0.434783,0.563380,0.490798,40,0.000000,0.000000,0.000000,0,92,71,0.000000,IAA/stage3/annotator_A/zh/350.json,workflow/1-annotated_json/data_zh/350.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,361,ok,0.000000,0.000000,0.611940,0.561644,0.585714,41,67,73,0.611940,0.561644,0.585714,41,0.014925,0.013699,0.014286,1,67,73,0.014286,IAA/stage3/annotator_A/zh/361.json,workflow/1-annotated_json/data_zh/361.json
